age,sex,total_mean,total_lower_p95,total_upper_p95
74,Both,0.4572155768098258,0.3585361761894908,0.579862099214854
74,Female,0.4552552447254734,0.34022045090305947,0.6007436854392073
74,Male,0.46202545647059295,0.3544323837927295,0.5969940683518795
75,Both,0.4709234592494818,0.3634548626858885,0.6069425134449502
75,Female,0.4684097787536741,0.3460776632214053,0.6261277838300046
75,Male,0.4763531629315761,0.36014182779455345,0.6248844660979279
76,Both,0.49123116408362605,0.38631781736305426,0.6248915240739733
76,Female,0.48940165145239284,0.3660059633767015,0.6468980002654608
76,Male,0.4960673390146084,0.38100823029919195,0.6434313400214661
77,Both,0.5082124308863176,0.4004230958097254,0.6444086398756519
77,Female,0.506147333312156,0.37893120242593564,0.6666764126866948
77,Male,0.5134911499674649,0.395750463841205,0.663647736578825
78,Both,0.5271201993378765,0.4138641132648777,0.6694791329916847
78,Female,0.5242773711266441,0.39081839045709116,0.6908889873682744
78,Male,0.5336192836871532,0.4095129725669001,0.6910721766528701
79,Both,0.5398957823619017,0.4191591812477255,0.6917524395687827
79,Female,0.5349448908653176,0.3950397919088723,0.7099548730281452
79,Male,0.5486510451920206,0.41726338761111026,0.7172691753084787
80,Both,0.5558789134021923,0.42543289326174566,0.720818885252964
80,Female,0.5500276699308796,0.4016411074468178,0.7384272679073588
80,Male,0.5657337849962494,0.42523408883627634,0.748303575861801
81,Both,0.5765435078755987,0.4482531538918739,0.738180527334979
81,Female,0.5695480762909373,0.4200556060827313,0.7568313518584903
81,Male,0.5878643872089346,0.4493152886934295,0.7694932520806906
82,Both,0.595055246120441,0.46476976728440983,0.7578479273135674
82,Female,0.5870584021905634,0.4336086752178451,0.7776123179953394
82,Male,0.6079376355394054,0.4660284335207282,0.791567599250717
83,Both,0.6143759073190332,0.4770294351260828,0.7837918933024193
83,Female,0.6058841549381154,0.4460868728946423,0.8050690324367051
83,Male,0.6275065072347995,0.479358682565377,0.8181350378934498
84,Both,0.6335920615490794,0.4877402125671769,0.8186372507153721
84,Female,0.6246477352729207,0.45613412756801075,0.8390179572217494
84,Male,0.6471716862013275,0.4910894089581211,0.8507914594196941
85,Both,0.6559649054196385,0.4988631777836876,0.8587084753451422
85,Female,0.647464892963014,0.4684899836988019,0.880439400321685
85,Male,0.6688323961613324,0.5019152322615382,0.890031416925353
