age,sex,total_mean,total_lower_p95,total_upper_p95
41,Both,0.0866247210853936,0.061597251894733904,0.11948116661746189
41,Female,0.08762955883438539,0.0601448671649668,0.1238926393792302
41,Male,0.08600311189636049,0.0602476144062664,0.1211015661638714
42,Both,0.09489958353775571,0.0683357288008815,0.1288593229483114
42,Female,0.0959402082554922,0.0664860477556492,0.13363426812488188
42,Male,0.0942778178306015,0.06668000521242831,0.13050846960905818
43,Both,0.10323369353433641,0.0740077665746372,0.1395584390820232
43,Female,0.1043181161011891,0.072371673083702,0.14484850375322358
43,Male,0.10260602193555171,0.0725310471529086,0.14139131546477401
44,Both,0.11158492361261602,0.0793337099678024,0.1516537724246952
44,Female,0.1126631770048875,0.07763310551218,0.15689428927810378
44,Male,0.1109995228572871,0.07771001154622391,0.15327750348558036
45,Both,0.1200538819278732,0.08422193944560509,0.164735297084114
45,Female,0.12106345204459859,0.0822358017315237,0.1701929988825097
45,Male,0.1195710833851054,0.08255152376609971,0.1666533579297555
46,Both,0.12897591850574538,0.0933991010101769,0.1722774632640169
46,Female,0.1298635912573717,0.09104598935777179,0.1784548700502544
46,Male,0.12863727930252128,0.09184964556865649,0.1748128087102372
47,Both,0.1378953379888346,0.1015972475927205,0.1815484247514307
47,Female,0.1386321732531356,0.0985256063814341,0.18820399922538142
47,Male,0.1377540159913106,0.0999717449274204,0.1847665456243252
48,Both,0.1470323611284294,0.10849929597763219,0.1929050856631216
48,Female,0.1476476893690432,0.1049616193023153,0.20049345582575273
48,Male,0.1470741688470121,0.1067610000439965,0.1969390860170921
49,Both,0.1561920314895406,0.11425374716380451,0.20674115992948192
49,Female,0.1567530321275937,0.1107956293451829,0.2142670537984267
49,Male,0.15636115925945468,0.11265610988413088,0.21036158681571612
50,Both,0.16543255530699982,0.1191967801135331,0.2217031858195248
50,Female,0.16598259208824212,0.11579083048806979,0.2292134872364861
50,Male,0.1656809549441665,0.1177257364466355,0.22605291585013548
51,Both,0.17534773599455158,0.1310469749024899,0.2289931615453431
51,Female,0.17581466288907488,0.1265586632516896,0.2379985986815593
51,Male,0.17571598246210457,0.1297672881987665,0.23368646718797478
52,Both,0.1849825615520162,0.1410651239150434,0.2382855923641586
52,Female,0.18531719681325148,0.13551628977165098,0.24818846302148423
52,Male,0.185505526088721,0.1393996648919661,0.24311086188285702
53,Both,0.1948062829174525,0.14934321573092327,0.2503325036377614
53,Female,0.1949969628536866,0.14352435020109527,0.260463354631383
53,Male,0.1954823235487714,0.147485664026833,0.25547999542345157
54,Both,0.20491557710111952,0.1562664308730591,0.26471054609234657
54,Female,0.2049971183689998,0.1500374804236146,0.27521369253867384
54,Male,0.20572044126890224,0.1543272778882021,0.2699530929114571
55,Both,0.2151527448904688,0.16187943240946637,0.28090425010599784
55,Female,0.21516573681415607,0.1560806399414573,0.2916748772500458
55,Male,0.2160614832801348,0.1600695597671193,0.28661570240402207
56,Both,0.2262265811223993,0.17490464263253844,0.2900241172802726
56,Female,0.22621035232143272,0.1677810911327074,0.3012935286446582
56,Male,0.22728012670991402,0.173355587643737,0.2961107497988575
57,Both,0.2368776645134155,0.1849358030332775,0.3012488626253362
57,Female,0.2368811035416233,0.1769695268140093,0.3124954949698181
57,Male,0.23799733052895838,0.1833591806123273,0.30820000390516117
58,Both,0.24729720032701752,0.1927644572213164,0.3151107937506098
58,Female,0.2474220440054548,0.18442062508785412,0.3266949521717359
58,Male,0.2483599143265919,0.1908223932645544,0.32238929181918163
59,Both,0.25753038575591564,0.19839156183963572,0.3314375519869855
59,Female,0.2580590144601606,0.1898981999547318,0.3437931326922463
59,Male,0.258272266383828,0.19630901820428237,0.33852438264023305
60,Both,0.2679144128980907,0.2026217709943774,0.34932709445280885
60,Female,0.2688463175583136,0.1949499802919319,0.3625978592384343
60,Male,0.26833275882094737,0.20073742181516122,0.35692892318646763
61,Both,0.2800403562395015,0.21753077903009518,0.35824737630819803
61,Female,0.28113708343341764,0.20914132686720238,0.3728522610255616
