age,sex,mean,lower_ci,upper_ci,lower_ci_p95,upper_ci_p95,lower_ci_p97_5,upper_ci_p97_5,lower_ci_p98_333,upper_ci_p98_333,lower_ci_p98_75,upper_ci_p98_75
86,Both,0.25717073120929645,0.20915612973271452,0.3126278320778221,0.20915612973271452,0.3126278320778221,0.20244405263328594,0.3232234181349149,0.19900638053513603,0.3291081392516899,0.19660117369668714,0.33290305768471184
87,Both,0.26416025837842727,0.21486905263153339,0.32036450325122506,0.21486905263153339,0.32036450325122506,0.2083845891727492,0.3311516564660403,0.20483307539820791,0.3368193857941039,0.20251550612985528,0.34019559082191486
88,Both,0.27204006382003043,0.2203771585689106,0.3310045916263868,0.2203771585689106,0.3310045916263868,0.21385425837822294,0.34150381720424905,0.20985047043428398,0.3473158125734213,0.20737248731171126,0.35125196132160114
89,Both,0.27956326588447394,0.22461606637083195,0.34210840905257855,0.22461606637083195,0.34210840905257855,0.21781115635253037,0.3531206083941097,0.21363198037394504,0.3582894670664145,0.21083674633733657,0.36369772880688533
90,Both,0.2873108024203303,0.2282850781626523,0.35558325310349675,0.2282850781626523,0.35558325310349675,0.2209873527685325,0.3667235442878804,0.21731700881188692,0.37294426151021454,0.21411143344528147,0.3784161073024605
91,Both,0.2948855507202274,0.2347514330535899,0.36334432253884524,0.2347514330535899,0.36334432253884524,0.2279452910893781,0.37432034778736234,0.22384521841532937,0.381118878314214,0.22104206101074733,0.3864421819935079
92,Both,0.30051718411082573,0.23890816575542484,0.3706919202904289,0.23890816575542484,0.3706919202904289,0.23179506010741968,0.3815873656272231,0.227767086330244,0.38783363656549097,0.2251858417883605,0.3931576958501631
93,Both,0.3093451917194339,0.24466364815992567,0.382749433894354,0.24466364815992567,0.382749433894354,0.23788595967995518,0.3951965473526393,0.23347875101945326,0.4015852085226678,0.230437695821618,0.40655596643008385
94,Both,0.3164335495096452,0.24848151133134416,0.39439216037792935,0.24848151133134416,0.39439216037792935,0.2414242176761629,0.4078618792566314,0.23679860299665545,0.4151518052468074,0.23348232768070012,0.4220303599973489
95,Both,0.3270202933698763,0.25421013762802913,0.41207231716279996,0.25421013762802913,0.41207231716279996,0.24618490961881856,0.4279030132191231,0.24190201146387333,0.43642633166263856,0.23833909778733173,0.4436879430395296
96,Both,0.3318241615540346,0.258545475136878,0.4169471739436339,0.258545475136878,0.4169471739436339,0.25016095831531726,0.43276096039418754,0.24559360269322789,0.4425297421564493,0.24249745651533816,0.4487315822033647
97,Both,0.3366276716312771,0.26223174801631055,0.4232316665086102,0.26223174801631055,0.4232316665086102,0.2529512184666047,0.43906336261842116,0.24874888864767455,0.44882801436606157,0.2450585046697246,0.4544074936164482
98,Both,0.34143105260419987,0.2649830346916268,0.43059574074838414,0.2649830346916268,0.43059574074838414,0.25567961997017485,0.44611068666315773,0.25099665029303014,0.45548744154068793,0.24782828462909864,0.461838970089953
99,Both,0.346234146901584,0.2675103497963491,0.43889218099593347,0.2675103497963491,0.43889218099593347,0.2578666689939649,0.4550428788919835,0.2528892537303469,0.4635828427219387,0.24971616375671438,0.47055976025787727
100,Both,0.35103672005315006,0.26995392313047895,0.448443012093564,0.26995392313047895,0.448443012093564,0.25931307111249235,0.4654081981145884,0.25444559242258546,0.4749704167599227,0.2511898605152988,0.48003564881012
0,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Male,3.3802840655473093e-07,5.618126028124428e-14,1.6203454300327076e-06,5.618126028124428e-14,1.6203454300327076e-06,2.498674530303112e-15,1.817392760495204e-06,5.753594970943721e-16,1.916550607186713e-06,1.9481803020373096e-16,1.9977341040123345e-06
31,Male,0.004111017980129348,0.0031306523024292082,0.005289640188326805,0.0031306523024292082,0.005289640188326805,0.003013850468703306,0.005488895300384879,0.002959594498895824,0.005608585295029839,0.00291384333718769,0.005677070014533801
32,Male,0.008235427108522358,0.006277155097445025,0.01059031952886326,0.006277155097445025,0.01059031952886326,0.0060442528909179,0.010992001198389546,0.005936229271574898,0.011214873303757327,0.005844436864336997,0.011368863671879292
33,Male,0.012355731619799517,0.009424340794512251,0.015888604322119172,0.009424340794512251,0.015888604322119172,0.009070935534258551,0.016479995903773872,0.008909003163282211,0.01682523042047352,0.00877168418342808,0.017064617287863345
34,Male,0.01646873856494032,0.01256374732876478,0.021177310275402855,0.01256374732876478,0.021177310275402855,0.012089255533403401,0.021973813613972448,0.01187854367843344,0.02241977589777669,0.011696146997887907,0.022739455393891453
35,Male,0.02057692173866507,0.01569573288284801,0.026462056805689423,0.01569573288284801,0.026462056805689423,0.015105251314303217,0.02745353377908955,0.01483206546346667,0.02802259891938574,0.014603208763137327,0.02841376384739631
36,Male,0.023051717165650062,0.01779607240671758,0.02928965227208656,0.01779607240671758,0.02928965227208656,0.01712901678035624,0.03040817164731993,0.01682743092639615,0.03093810973861741,0.01661613901387742,0.031425095571600524
37,Male,0.02550246212014621,0.019602667932725658,0.03247903418591644,0.019602667932725658,0.03247903418591644,0.01883493144266559,0.033724810409010535,0.01846262932583243,0.03444319183812441,0.0181977497404724,0.034840939697087764
38,Male,0.027964492529112255,0.021290031426640873,0.035991632716073786,0.021290031426640873,0.035991632716073786,0.020392548559269533,0.03729337848753222,0.01991444806028536,0.0379900495835549,0.01966557364521388,0.03864728602191044
39,Male,0.030455336144100873,0.022905477699999094,0.039625203863716756,0.022905477699999094,0.039625203863716756,0.02189398585144128,0.041086808912479324,0.021384813381812865,0.041943139391393436,0.021050044154043535,0.04244796565070578
40,Male,0.033014220037716695,0.024488552670516372,0.04344694623956928,0.024488552670516372,0.04344694623956928,0.023423264639962686,0.04502645039060813,0.022828711434806515,0.04601010164809398,0.0225001218720641,0.04678314345573303
41,Male,0.03634458168645754,0.0276172574573626,0.04686706246419953,0.0276172574573626,0.04686706246419953,0.02652266084412721,0.04849528472702937,0.02592130128109405,0.04940497349100509,0.02553331860029979,0.050151318816050214
42,Male,0.03962967528339501,0.030362442357609556,0.050541644684296214,0.030362442357609556,0.050541644684296214,0.029237014724138994,0.05234853699555756,0.028577736927987936,0.053537170637754684,0.028146589792724143,0.054335027052143464
43,Male,0.04295374311377633,0.03289611750987976,0.054835790488378194,0.03289611750987976,0.054835790488378194,0.03161706830279713,0.05687038428217943,0.031016315705154923,0.05817909707021538,0.030596324987419522,0.05891968658882388
44,Male,0.046292325010350445,0.03528024967589691,0.059396302814837564,0.03528024967589691,0.059396302814837564,0.0338581557253043,0.06185877472604867,0.033147802790218735,0.06314331057206797,0.03266151882703337,0.0637354955352171
45,Male,0.049727631453832924,0.03754798495928481,0.06437792291114541,0.03754798495928481,0.06437792291114541,0.03601732013092644,0.06707604010914403,0.03520426756208946,0.06842930969279047,0.0346367067060811,0.0693521385600485
46,Male,0.05324372605622992,0.041040493166070786,0.06771099624192219,0.041040493166070786,0.06771099624192219,0.03956383725124847,0.0701807712242127,0.03869664432462968,0.0715753539668634,0.03816087984339499,0.07230593057955231
47,Male,0.05678809511819573,0.04411225834827873,0.07152539133147691,0.04411225834827873,0.07152539133147691,0.04255694637730577,0.07404070226309842,0.04182643902439517,0.0753982888314186,0.04117155755513821,0.07622884718585678
48,Male,0.060430076861336376,0.04699718503466453,0.07606859358902998,0.04699718503466453,0.07606859358902998,0.04533484854442731,0.07846048608656728,0.04430675025880739,0.0797995448921268,0.0438413950045599,0.0809541967804617
49,Male,0.06404476088154006,0.049592487043994,0.08104863383794011,0.049592487043994,0.08104863383794011,0.047645735377702066,0.08361021610637043,0.046654776445930815,0.08503442866373533,0.04612264613362115,0.08609130062572916
50,Male,0.06767737180686534,0.0516971701512778,0.0864588228420152,0.0516971701512778,0.0864588228420152,0.049751868202380624,0.0892144421613536,0.04884398157869066,0.09093345313345694,0.04820932677396953,0.09225722735275191
51,Male,0.07150893899933383,0.056051001028657385,0.08986782779465038,0.056051001028657385,0.08986782779465038,0.05416465087779382,0.0925809495661885,0.053076689061685584,0.09419765576654522,0.05246003791604984,0.095292602066148
52,Male,0.07523500395828323,0.0596569372065569,0.09349393619233289,0.0596569372065569,0.09349393619233289,0.05778469750357217,0.09646744139479128,0.056700408380100785,0.09810137892103964,0.056071597075928056,0.0991045804776471
53,Male,0.07905150043720201,0.0629090810276152,0.0979703114882643,0.0629090810276152,0.0979703114882643,0.06094376701848037,0.10105793922569878,0.059854692746787036,0.10291308038332508,0.05920046886744194,0.10377928746900619
54,Male,0.08301648784777697,0.06576682438403864,0.10298750160350655,0.06576682438403864,0.10298750160350655,0.06375628494254593,0.10650995900095801,0.06254447611764773,0.10838432484753308,0.0618742966292743,0.10922814854620114
55,Male,0.08692055136491357,0.06818398865308123,0.10862543658983256,0.06818398865308123,0.10862543658983256,0.06600463255140915,0.1123514995093114,0.06469380051285105,0.11452925975284457,0.06388227122430239,0.11569410519978228
56,Male,0.09140537012727222,0.07307176831704042,0.1126655114707786,0.07307176831704042,0.1126655114707786,0.07111683853549358,0.11663202336227962,0.07010634720939428,0.11840739033126406,0.06939726974215707,0.1196631196758781
57,Male,0.09556826172905616,0.07700741720514288,0.11716643751220403,0.07700741720514288,0.11716643751220403,0.07488345927862836,0.12102550652849042,0.07390128177178619,0.12312760346514506,0.07317041638586393,0.12460795607893803
58,Male,0.09951424023653643,0.0801838112890754,0.12236605579691072,0.0801838112890754,0.12236605579691072,0.07779121085749763,0.12663511762581053,0.07679966591511261,0.12888170496556686,0.07591606311596504,0.13022998074824038
59,Male,0.10321618240928898,0.08244594824986022,0.12793807986879804,0.08244594824986022,0.12793807986879804,0.08003585197037821,0.13267239545064644,0.07889525903184731,0.13497788609347305,0.07803169307611249,0.13689771078155227
60,Male,0.10702120528131409,0.08438621940004372,0.13441146125213002,0.08438621940004372,0.13441146125213002,0.08187722236390246,0.13922119739287192,0.08053105092500291,0.14190516214418966,0.079519528165933,0.14390762973034327
