age,sex,mean,lower_ci,upper_ci,lower_ci_p95,upper_ci_p95,lower_ci_p97_5,upper_ci_p97_5,lower_ci_p98_333,upper_ci_p98_333,lower_ci_p98_75,upper_ci_p98_75
77,Both,0.026562289689722823,0.021318593035754566,0.03284686298191509,0.021318593035754566,0.03284686298191509,0.020636048169763655,0.03386970152489086,0.02030751647360751,0.03446161833099771,0.02009098588513361,0.03485679839333343
78,Both,0.02919418359410387,0.023251439672132168,0.036314359564367814,0.023251439672132168,0.036314359564367814,0.02253039793661033,0.03752518597973745,0.02212074648187546,0.038172550558424126,0.021879630606868032,0.038677090061183736
79,Both,0.031706497475470156,0.024939144759662316,0.03991066434169616,0.024939144759662316,0.03991066434169616,0.024142999421791357,0.041268845884911316,0.023696822483380647,0.041983292850556464,0.023363897197690178,0.042562191165096276
80,Both,0.034154866301091255,0.026533023759133377,0.04337475592608085,0.026533023759133377,0.04337475592608085,0.025634770564219558,0.044917294086838144,0.025005241500666294,0.04590622170192709,0.024684537366660424,0.04651280762030079
81,Both,0.0374261343726965,0.029758261509286264,0.04667149315931321,0.029758261509286264,0.04667149315931321,0.02884808074068789,0.04837699820897596,0.028368448620566165,0.049066704900195095,0.02796616771045695,0.04954596575214026
82,Both,0.040641852971310004,0.032484146646188615,0.05038079101801814,0.032484146646188615,0.05038079101801814,0.03159053447586335,0.0521313224643233,0.03099768679717525,0.05310396292554309,0.030684577577269306,0.0537010355063299
83,Both,0.043672304177823563,0.03470996198730595,0.05444376150321193,0.03470996198730595,0.05444376150321193,0.03365836314344063,0.05628656271921323,0.03309704976106584,0.05737217685249113,0.032699616944292534,0.0580259276124593
84,Both,0.046700337147155456,0.036683855532187774,0.05879744560426422,0.036683855532187774,0.05879744560426422,0.0354370845838673,0.060885115195397056,0.03481773800587783,0.061978700094041474,0.034509744994751915,0.062740834924913
85,Both,0.049614054886021844,0.03841880151837038,0.06318453993688561,0.03841880151837038,0.06318453993688561,0.03706408130549782,0.06561527059111943,0.03632307161726142,0.06676363514964853,0.03581917660122791,0.06767963118180527
86,Both,0.052381476055870145,0.0411869647014456,0.06579483073459103,0.0411869647014456,0.06579483073459103,0.039866161176475436,0.06822684031278425,0.039203047638461,0.06961322957633058,0.038842625158250085,0.07044390502213894
87,Both,0.05515680576986533,0.04353387298621367,0.06931249400484253,0.04353387298621367,0.06931249400484253,0.04221282330045007,0.07183052268673393,0.041480806011319024,0.07322229816201085,0.04104749742391551,0.07407565297329223
88,Both,0.05766455817325627,0.04515702529172522,0.0730246919917392,0.04515702529172522,0.0730246919917392,0.043864253666374836,0.07578502844537983,0.043102171771447206,0.07736306356030243,0.04266952165638864,0.07829885553963684
89,Both,0.060132078930266855,0.04645255520319096,0.07709985047066409,0.04645255520319096,0.07709985047066409,0.04493888138778623,0.08003113548940186,0.044233989170139175,0.0818356832601942,0.043775330104545936,0.08281356567059378
90,Both,0.06264429230600957,0.04761773450397276,0.08158995782242406,0.04761773450397276,0.08158995782242406,0.04589960103167622,0.08469052785692886,0.04501061681848165,0.08634877316144206,0.04458065540359548,0.08755069933802768
91,Both,0.06450332068993894,0.0492358121822097,0.08382443712552787,0.0492358121822097,0.08382443712552787,0.04759936618170352,0.08704415784836063,0.04672589274156323,0.08882917793727532,0.04613057497453457,0.09001479434712993
92,Both,0.06618969888498907,0.05043316798703293,0.0862104841818509,0.05043316798703293,0.0862104841818509,0.0487556438778734,0.08978776572740364,0.04775141457847228,0.09151544772613647,0.047009033089985074,0.09294285489474381
93,Both,0.06785297666378752,0.0513520903150461,0.08919801766687509,0.0513520903150461,0.08919801766687509,0.04935229049722471,0.09296407618316943,0.04827354041538013,0.0949005950487543,0.047545801575450325,0.09637438402762744
94,Both,0.06942283593694887,0.05190882893743411,0.09249424790617328,0.05190882893743411,0.09249424790617328,0.04961516918207626,0.09641589702087908,0.04862055665464847,0.09862605832926542,0.047902054135180436,0.10035113376563441
95,Both,0.0698033485866229,0.051311396643476954,0.09466016824958579,0.051311396643476954,0.09466016824958579,0.0490350843441566,0.09879077922736512,0.047900050252419925,0.10135778041078168,0.04712665884749532,0.10344303767566575
96,Both,0.07172713775680241,0.05264972892398148,0.09711727678585508,0.05264972892398148,0.09711727678585508,0.05030667640080044,0.10164557094747248,0.049136234103696,0.10423598117212912,0.04833140642219576,0.10629244290100914
97,Both,0.07365092692698204,0.053844164932998574,0.10028220826263563,0.053844164932998574,0.10028220826263563,0.05137119071799117,0.1051120312376893,0.050185744451529096,0.10795484840499638,0.049488691271450114,0.10961057116455768
98,Both,0.07557471609716167,0.054807397709750245,0.10379367288874815,0.054807397709750245,0.10379367288874815,0.052198521556669805,0.10906243567713356,0.05109763844441841,0.11194058135097255,0.050304788382614124,0.11409034936399574
99,Both,0.07749850526734135,0.0555319332212349,0.1080601003034373,0.0555319332212349,0.1080601003034373,0.053045544437568,0.11310607799037092,0.05180933472373246,0.11649608253699527,0.051057009861126025,0.11912980187124661
100,Both,0.0794222944375217,0.05629740352030106,0.11252094089875946,0.05629740352030106,0.11252094089875946,0.05373962341879988,0.1178543362627204,0.052490776628127095,0.12126534311432491,0.05172914391224198,0.12379708623014961
0,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
