location_name,location_id,stage,stage_id,sex_name,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,x_sdi,x_tob
United States of America,102,Early to intermediate,2,Female,2,1993,60,64,1204.0,0.044850498338870434,0.005964939864691838,0.773103517,0.241955272
United States of America,102,Early to intermediate,2,Male,1,1993,65,72,1191.0,0.061293031066330814,0.006950478265444422,0.773103517,0.278045694
United States of America,102,Early to intermediate,2,Female,2,1993,65,72,1152.0,0.078125,0.007906873568679114,0.773103517,0.241955272
United States of America,102,Early to intermediate,2,Male,1,1993,48,54,283.0,0.014134275618374558,0.007017015631912913,0.773103517,0.278045694
United States of America,102,Early to intermediate,2,Female,2,1993,48,54,480.0,0.029166666666666667,0.0076805995076098255,0.773103517,0.241955272
United States of America,102,Early to intermediate,2,Male,1,1993,55,59,266.0,0.018796992481203006,0.008326889488405775,0.773103517,0.278045694
United States of America,102,Early to intermediate,2,Female,2,1993,55,59,495.0,0.03838383838383838,0.008635201545232828,0.773103517,0.241955272
United States of America,102,Early to intermediate,2,Male,1,1993,60,64,191.0,0.04712041884816754,0.015332285509035504,0.773103517,0.278045694
United States of America,102,Early to intermediate,2,Female,2,1993,60,64,361.0,0.038781163434903045,0.010161737042266583,0.773103517,0.241955272
United States of America,102,Early to intermediate,2,Male,1,1993,65,72,195.0,0.06666666666666667,0.017863043388188896,0.773103517,0.278045694
United States of America,102,Early to intermediate,2,Female,2,1993,65,72,277.0,0.032490974729241874,0.010652928156363456,0.773103517,0.241955272
United States of America,102,Late,3,Male,1,1993,48,54,1059.0,0.0,0.0,0.773103517,0.278045694
United States of America,102,Late,3,Female,2,1993,48,54,1578.0,0.0012674271229404308,0.0008956381951271603,0.773103517,0.241955272
United States of America,102,Late,3,Male,1,1993,55,59,1372.0,0.0,0.0,0.773103517,0.278045694
United States of America,102,Late,3,Female,2,1993,55,59,1849.0,0.0005408328826392645,0.0005406866127562272,0.773103517,0.241955272
United States of America,102,Late,3,Male,1,1993,60,64,1294.0,0.0015455950540958269,0.0010920558261261321,0.773103517,0.278045694
United States of America,102,Late,3,Female,2,1993,60,64,1565.0,0.0006389776357827476,0.0006387734569515937,0.773103517,0.241955272
United States of America,102,Late,3,Male,1,1993,65,72,1386.0,0.0036075036075036075,0.0016104119925897697,0.773103517,0.278045694
United States of America,102,Late,3,Female,2,1993,65,72,1429.0,0.0027991602519244225,0.0013976199287454227,0.773103517,0.241955272
United States of America,102,Late,3,Male,1,1993,48,54,776.0,0.0,0.0,0.773103517,0.278045694
United States of America,102,Late,3,Female,2,1993,48,54,1098.0,0.0018214936247723133,0.0012868169260726184,0.773103517,0.241955272
United States of America,102,Late,3,Male,1,1993,55,59,1106.0,0.0,0.0,0.773103517,0.278045694
United States of America,102,Late,3,Female,2,1993,55,59,1354.0,0.0007385524372230429,0.0007382796569968507,0.773103517,0.241955272
United States of America,102,Late,3,Male,1,1993,60,64,1103.0,0.001813236627379873,0.0012809889652939626,0.773103517,0.278045694
United States of America,102,Late,3,Female,2,1993,60,64,1204.0,0.0,0.0,0.773103517,0.241955272
United States of America,102,Late,3,Male,1,1993,65,72,1191.0,0.0041981528127623844,0.0018735259138569272,0.773103517,0.278045694
United States of America,102,Late,3,Female,2,1993,65,72,1152.0,0.003472222222222222,0.0017330944083783187,0.773103517,0.241955272
United States of America,102,Late,3,Male,1,1993,48,72,935.0,0.0,0.0,0.773103517,0.278045694
United States of America,102,Late,3,Female,2,1993,48,72,1613.0,0.0006199628022318661,0.0006197705954989157,0.773103517,0.241955272
United States of America,102,Late,3,Male,1,1993,48,54,283.0,0.0,0.0,0.773103517,0.278045694
United States of America,102,Late,3,Female,2,1993,48,54,480.0,0.0,0.0,0.773103517,0.241955272
United States of America,102,Late,3,Male,1,1993,55,59,266.0,0.0,0.0,0.773103517,0.278045694
United States of America,102,Late,3,Female,2,1993,55,59,495.0,0.0,0.0,0.773103517,0.241955272
United States of America,102,Late,3,Male,1,1993,60,64,191.0,0.0,0.0,0.773103517,0.278045694
United States of America,102,Late,3,Female,2,1993,60,64,361.0,0.002770083102493075,0.0027662437616285574,0.773103517,0.241955272
United States of America,102,Late,3,Male,1,1993,65,72,195.0,0.0,0.0,0.773103517,0.278045694
United States of America,102,Late,3,Female,2,1993,65,72,277.0,0.0,0.0,0.773103517,0.241955272
Greece,82,Late-wet,6,Male,1,1993,40,49,5.0,0.0,0.0,0.693328926,0.526185095
Greece,82,Late-wet,6,Female,2,1993,40,49,18.0,0.0,0.0,0.693328926,0.325969531
Greece,82,Late-wet,6,Male,1,1993,50,59,35.0,0.0,0.0,0.693328926,0.526185095
Greece,82,Late-wet,6,Female,2,1993,50,59,92.0,0.0,0.0,0.693328926,0.325969531
Greece,82,Late-wet,6,Male,1,1993,60,69,95.0,0.0,0.0,0.693328926,0.526185095
Greece,82,Late-wet,6,Female,2,1993,60,69,153.0,0.0,0.0,0.693328926,0.325969531
Greece,82,Late-wet,6,Male,1,1993,70,79,126.0,0.007936507936507936,0.007904951119936466,0.693328926,0.526185095
Greece,82,Late-wet,6,Female,2,1993,70,79,172.0,0.005813953488372093,0.005797027823670816,0.693328926,0.325969531
Greece,82,Late-wet,6,Male,1,1993,80,99,54.0,0.018518518518518517,0.018346249485727373,0.693328926,0.526185095
Greece,82,Late-wet,6,Female,2,1993,80,99,27.0,0.037037037037037035,0.036344694923159865,0.693328926,0.325969531
Greece,82,Late-dry,7,Male,1,1993,40,49,5.0,0.0,0.0,0.693328926,0.526185095
Greece,82,Late-dry,7,Female,2,1993,40,49,18.0,0.0,0.0,0.693328926,0.325969531
Greece,82,Late-dry,7,Male,1,1993,50,59,35.0,0.0,0.0,0.693328926,0.526185095
Greece,82,Late-dry,7,Female,2,1993,50,59,92.0,0.0,0.0,0.693328926,0.325969531
Greece,82,Late-dry,7,Male,1,1993,60,69,95.0,0.0,0.0,0.693328926,0.526185095
Greece,82,Late-dry,7,Female,2,1993,60,69,153.0,0.0,0.0,0.693328926,0.325969531
Greece,82,Late-dry,7,Male,1,1993,70,79,126.0,0.007936507936507936,0.007904951119936466,0.693328926,0.526185095
Greece,82,Late-dry,7,Female,2,1993,70,79,172.0,0.005813953488372093,0.005797027823670816,0.693328926,0.325969531
