original_row_id,location_name,location_id,stage,stage_id,sex_name,sex_id,year_id,age_start,age_end,effective_sample_size,value,standard_error,ethnicity,Patients with AMD,split_stage,x_lpa,x_sdi,x_sev,data_type,upper_ci,lower_ci
409,Japan,67,Intermediate,5,Female,2,2012,50,59,409,0.0464547677261613,0.0104069661503225,Asian ancestry,19.0,Intermediate,45.57256181827826,0.849061489,18.9433835467472,p,,
410,Japan,67,Intermediate,5,Female,2,2012,60,69,1217,0.1068200493015612,0.0088542255494854,Asian ancestry,130.0,Intermediate,45.57256181827826,0.849061489,18.9433835467472,p,,
411,Japan,67,Intermediate,5,Female,2,2012,70,74,397,0.181360201511335,0.019338472560027,Asian ancestry,72.0,Intermediate,45.57256181827826,0.849061489,18.9433835467472,p,,
437,China,6,Intermediate,5,Male,1,2017,50,59,1898,0.060063224446786,0.0054538795037701,Asian ancestry,114.0,Intermediate,14.31753661663098,0.684619661,49.96635407061304,p,,
438,China,6,Intermediate,5,Male,1,2017,60,69,1211,0.1156069364161849,0.0091884559690678,Asian ancestry,140.0,Intermediate,14.31753661663098,0.684619661,49.96635407061304,p,,
439,China,6,Intermediate,5,Male,1,2017,70,97,435,0.2160919540229885,0.0197336413514432,Asian ancestry,94.0,Intermediate,14.31753661663098,0.684619661,49.96635407061304,p,,
440,China,6,Intermediate,5,Female,2,2017,50,59,2168,0.0419741697416974,0.0043067536219566,Asian ancestry,91.0,Intermediate,23.77438266417515,0.684619661,28.832715354190608,p,,
441,China,6,Intermediate,5,Female,2,2017,60,69,1489,0.1168569509738079,0.0083252149209976,Asian ancestry,174.0,Intermediate,23.77438266417515,0.684619661,28.832715354190608,p,,
442,China,6,Intermediate,5,Female,2,2017,70,97,518,0.2297297297297297,0.0184826946613856,Asian ancestry,119.0,Intermediate,23.77438266417515,0.684619661,28.832715354190608,p,,
483,Russian Federation,62,Intermediate,5,Both,3,2017,85,98,932,0.1984978540772532,0.0130653875539763,Asian ancestry,185.0,Intermediate,14.82683894765299,0.795669484,36.22062290827544,p,,
0,Japan,67,Early to intermediate,2,Male,1,1998,50,59,155,0.0387096774193548,0.0154942733007713,Asian ancestry,2.3411589845133363,Intermediate,31.97009867492509,0.819016202,46.91428481221066,p,,
1,Japan,67,Early to intermediate,2,Female,2,1998,50,59,285,0.0631578947368421,0.0144086931690379,Asian ancestry,6.498322300062908,Intermediate,43.41517567203204,0.819016202,30.504705402988257,p,,
2,Japan,67,Early to intermediate,2,Male,1,1998,60,69,231,0.0649350649350649,0.0162126697125288,Asian ancestry,5.492538310574192,Intermediate,31.97009867492509,0.819016202,46.91428481221066,p,,
3,Japan,67,Early to intermediate,2,Female,2,1998,60,69,334,0.0658682634730539,0.0135727839845079,Asian ancestry,7.432733341978738,Intermediate,43.41517567203204,0.819016202,30.504705402988257,p,,
4,Japan,67,Early to intermediate,2,Male,1,1998,70,79,180,0.1055555555555555,0.0229023992249858,Asian ancestry,7.793187547448148,Intermediate,31.97009867492509,0.819016202,46.91428481221066,p,,
5,Japan,67,Early to intermediate,2,Female,2,1998,70,79,211,0.1421800947867298,0.0240423121717685,Asian ancestry,11.41545909472625,Intermediate,43.41517567203204,0.819016202,30.504705402988257,p,,
6,Japan,67,Early to intermediate,2,Male,1,1998,80,95,32,0.21875,0.0730792458354285,Asian ancestry,3.0330246065340645,Intermediate,31.97009867492509,0.819016202,46.91428481221066,p,,
7,Japan,67,Early to intermediate,2,Female,2,1998,80,95,58,0.2586206896551724,0.0574960311280123,Asian ancestry,6.043845658250224,Intermediate,43.41517567203204,0.819016202,30.504705402988257,p,,
80,India,163,Early to intermediate,2,Both,3,2002,50,59,511,0.461839530332681,0.0220541842329646,Asian ancestry,88.66348803199708,Intermediate,14.11609810909598,0.407411414,33.25121624232787,p,,
