,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
cum_sum_mu_p[1],0.0,0.0,0.0,0.0,0.0,0.0,5919.39,6736.83,1.0
cum_sum_mu_p[2],0.0,0.0,0.0,0.01,0.0,0.0,5537.48,6429.88,1.0
cum_sum_mu_p[3],0.01,0.0,0.01,0.01,0.0,0.0,5377.37,6442.13,1.0
cum_sum_mu_p[4],0.02,0.0,0.01,0.02,0.0,0.0,5302.62,6480.42,1.0
cum_sum_mu_p[5],0.02,0.01,0.01,0.03,0.0,0.0,5271.11,6342.95,1.0
cum_sum_mu_p[6],0.03,0.01,0.02,0.05,0.0,0.0,5259.12,6267.21,1.0
cum_sum_mu_p[7],0.04,0.01,0.03,0.06,0.0,0.0,5253.95,6215.92,1.0
cum_sum_mu_p[8],0.05,0.01,0.03,0.08,0.0,0.0,5255.7,6166.15,1.0
cum_sum_mu_p[9],0.07,0.02,0.04,0.1,0.0,0.0,5258.86,6070.16,1.0
cum_sum_mu_p[10],0.08,0.02,0.05,0.12,0.0,0.0,5261.98,6047.52,1.0
cum_sum_mu_p[11],0.1,0.02,0.06,0.14,0.0,0.0,5364.72,6262.62,1.0
cum_sum_mu_p[12],0.12,0.03,0.08,0.17,0.0,0.0,5531.43,6515.07,1.0
cum_sum_mu_p[13],0.15,0.03,0.11,0.2,0.0,0.0,5746.4,6999.27,1.0
cum_sum_mu_p[14],0.19,0.03,0.13,0.25,0.0,0.0,5965.01,7343.1,1.0
cum_sum_mu_p[15],0.22,0.03,0.16,0.29,0.0,0.0,6119.88,7649.91,1.0
cum_sum_mu_p[16],0.26,0.04,0.19,0.34,0.0,0.0,6197.57,7809.83,1.0
cum_sum_mu_p[17],0.31,0.05,0.22,0.39,0.0,0.0,6193.05,7361.34,1.0
cum_sum_mu_p[18],0.36,0.05,0.26,0.46,0.0,0.0,6132.54,7247.71,1.0
cum_sum_mu_p[19],0.41,0.06,0.29,0.53,0.0,0.0,6034.77,6969.11,1.0
cum_sum_mu_p[20],0.46,0.07,0.33,0.61,0.0,0.0,5917.28,6621.37,1.0
cum_sum_mu_p[21],0.52,0.08,0.37,0.68,0.0,0.0,5890.41,6641.08,1.0
cum_sum_mu_p[22],0.58,0.09,0.42,0.76,0.0,0.0,5888.96,6563.74,1.0
cum_sum_mu_p[23],0.65,0.1,0.47,0.84,0.0,0.0,5840.66,6468.28,1.0
cum_sum_mu_p[24],0.72,0.11,0.52,0.92,0.0,0.0,5679.23,6500.8,1.0
cum_sum_mu_p[25],0.79,0.12,0.58,1.01,0.0,0.0,5364.34,6465.78,1.0
cum_sum_mu_p[26],0.86,0.12,0.65,1.11,0.0,0.0,4904.77,6581.64,1.0
cum_sum_mu_p[27],0.94,0.13,0.71,1.2,0.0,0.0,4358.2,6809.14,1.0
cum_sum_mu_p[28],1.02,0.14,0.77,1.3,0.0,0.0,3795.56,6869.91,1.0
