age,sex,mean,lower_ci,upper_ci,lower_ci_p95,upper_ci_p95,lower_ci_p97_5,upper_ci_p97_5,lower_ci_p98_333,upper_ci_p98_333,lower_ci_p98_75,upper_ci_p98_75
60,Both,0.005614041695634651,0.004242994471636464,0.007382963214237798,0.004242994471636464,0.007382963214237798,0.004087216654701158,0.007668419425832249,0.003999023109316148,0.007805595759380411,0.003946425872596484,0.007929866071964421
61,Both,0.006172337361617954,0.004761054289097292,0.007961476151549235,0.004761054289097292,0.007961476151549235,0.004604847964702928,0.008258144674300274,0.0045227073550234064,0.00841843277889153,0.004464601343495733,0.00852955826224936
62,Both,0.006747309488246394,0.005239810670286526,0.008631556561572969,0.005239810670286526,0.008631556561572969,0.005080633733473754,0.008963627076085995,0.004995425028918387,0.009137388971757615,0.004933894810502893,0.009267380921625573
63,Both,0.0073341542469958,0.005698908666892948,0.009431290778870434,0.005698908666892948,0.009431290778870434,0.005518093078375442,0.00976425099118581,0.0054179030052767824,0.009947969158207733,0.005354509263601128,0.010078498206189201
64,Both,0.007945247756501834,0.006128468975936809,0.010253730899860676,0.006128468975936809,0.010253730899860676,0.005926672249298261,0.010659950202337516,0.005820947333959214,0.010884963340202714,0.0057455871068643185,0.011022429313162052
65,Both,0.008550965018452568,0.006520432410756257,0.011121045849482477,0.006520432410756257,0.011121045849482477,0.006295834680253725,0.011567182204598936,0.006186518828353365,0.011846095857732612,0.006096982049745622,0.012010685373281663
66,Both,0.009523077121074653,0.0074065057012456005,0.012160832950363343,0.0074065057012456005,0.012160832950363343,0.007170461633482769,0.012624939240001633,0.00704195006733259,0.01289576223140679,0.006955012901135219,0.013095932698073744
67,Both,0.010472488925806179,0.00818030059420408,0.013324197540588069,0.00818030059420408,0.013324197540588069,0.007899455095634509,0.013812737284417924,0.007778024523185866,0.014088167879823978,0.007680769021409217,0.014300566176595624
68,Both,0.011401164234531951,0.008848184690290379,0.014549919433334897,0.008848184690290379,0.014549919433334897,0.00855737953264426,0.015112008743131415,0.008399407214497829,0.015431636447080534,0.008291208147517375,0.0156238234250452
69,Both,0.012285543164480817,0.00942510580672577,0.01581601463329353,0.00942510580672577,0.01581601463329353,0.009128977690161692,0.016408617769740643,0.008954647901111728,0.016729217968100934,0.008834926179219015,0.016978310352595914
70,Both,0.013201902923508035,0.009999995256768217,0.017154112470453804,0.009999995256768217,0.017154112470453804,0.00966976248099054,0.01785960315091521,0.0094648700026802,0.018201187606122368,0.009350127958915514,0.018438784418005977
71,Both,0.014826011766022561,0.011504576316924336,0.018918860935488946,0.011504576316924336,0.018918860935488946,0.011140791597159855,0.019596221347498083,0.010957713571924366,0.019962182594388072,0.010813558355447828,0.02028362621668097
72,Both,0.01643622012266141,0.012870699397117753,0.020823255883318716,0.012870699397117753,0.020823255883318716,0.012433038393776193,0.021625369473306816,0.01223005516212751,0.02203849492601934,0.012090365161789077,0.022329595698166817
73,Both,0.01788062809157498,0.013954125930831325,0.022689155651082236,0.013954125930831325,0.022689155651082236,0.013469244801737107,0.02357684678621445,0.013247719412463391,0.024071799561200202,0.013082987387688884,0.024435723408525876
74,Both,0.01950012072769929,0.0150772420750812,0.024913288894118906,0.0150772420750812,0.024913288894118906,0.01454946268706635,0.02593143669171804,0.014299093722152682,0.02648630008636027,0.014091525737925404,0.02693141647820769
75,Both,0.021397073204791853,0.016340788530965874,0.027586740704953695,0.016340788530965874,0.027586740704953695,0.015734052457448536,0.02880151819407727,0.015453189858835524,0.029487608987086376,0.015229717719329358,0.02994827920475109
76,Both,0.02390592728899086,0.018621601580867602,0.030282609745820165,0.018621601580867602,0.030282609745820165,0.017998897037230566,0.03136519163658712,0.017662363245521555,0.03212803456878274,0.01744818245008879,0.03266079086219884
77,Both,0.026313080745717612,0.020559741520310117,0.033133315675459414,0.020559741520310117,0.033133315675459414,0.01991621323019918,0.034427106220731224,0.019521583919657616,0.03517543212533928,0.019307559458566183,0.035717686993164556
78,Both,0.02909731145865055,0.02257564769813831,0.03682837736674494,0.02257564769813831,0.03682837736674494,0.021873525686122865,0.03827246340248385,0.0215100461520384,0.039060595798734846,0.021260035207787492,0.03964786243035291
79,Both,0.03190418096930964,0.024442498932859196,0.04085494236487282,0.024442498932859196,0.04085494236487282,0.023623852625721548,0.042336393480269914,0.023267677762163548,0.04328613600506038,0.02297010081901977,0.04381773929979078
80,Both,0.03463819838367885,0.02624387713175355,0.044685422371179305,0.02624387713175355,0.044685422371179305,0.025286609305272496,0.04648083151217695,0.024869520334222628,0.047458648549056716,0.024557775161857223,0.04827602375756453
81,Both,0.03854084705619135,0.02961229547949094,0.049026401188982355,0.02961229547949094,0.049026401188982355,0.028620355768908912,0.050770795652054966,0.028194451013480764,0.0517512643208543,0.027817544342983093,0.05233501373773632
82,Both,0.042352743170834026,0.03264821867306379,0.05368832885911998,0.03264821867306379,0.05368832885911998,0.03147934620906159,0.055604781314351134,0.030909185442732457,0.05649405128358001,0.030535864796701742,0.05724320063050149
83,Both,0.045820890546372076,0.03504039603564445,0.058368323927325064,0.03504039603564445,0.058368323927325064,0.03380607115185991,0.060474567857551106,0.03304494649971715,0.06145188679823593,0.03269157077293013,0.062231759891924296
84,Both,0.049262959261266843,0.0373151281884743,0.0633045686572453,0.0373151281884743,0.0633045686572453,0.03581024398936306,0.06558842006111669,0.03507754034454514,0.06678790718225251,0.034527848688106745,0.06748390102893354
85,Both,0.052501503779234134,0.039283867594700095,0.06816909980768657,0.039283867594700095,0.06816909980768657,0.0376739465064289,0.07058081621296082,0.03684366904080155,0.07205528785509746,0.036221249946701214,0.07289097378916232
86,Both,0.05584612907015129,0.042333563262983945,0.07135001995529047,0.042333563262983945,0.07135001995529047,0.04050922522600228,0.07385196885964439,0.0396117035312186,0.07524071854846598,0.03901110868911316,0.0762302001200155
87,Both,0.0593752386912728,0.044970732753012825,0.07571626117111706,0.044970732753012825,0.07571626117111706,0.042969439979628404,0.0783921473382551,0.04198092863098995,0.07976745208132718,0.041373277994147056,0.0807389704922216
88,Both,0.06285527527493598,0.047190835476032464,0.08077048634768856,0.047190835476032464,0.08077048634768856,0.04504538970518926,0.08376872509228112,0.04399523131684875,0.08534929183015837,0.04328439134441879,0.0862684059573756
89,Both,0.06605515692658763,0.04900137703497809,0.08578012236886762,0.04900137703497809,0.08578012236886762,0.046675924378999575,0.08924622841493321,0.045428090149709395,0.09085302868529456,0.044797919151199246,0.09184043543329966
90,Both,0.06943200093841748,0.05066191246317423,0.09149283917095723,0.05066191246317423,0.09149283917095723,0.04825983018937099,0.09519416745354974,0.046932799186999954,0.09708662574433599,0.046085712187617735,0.0982608880562128
91,Both,0.07171988627872417,0.05265400616336681,0.0938209951538184,0.05265400616336681,0.0938209951538184,0.050042698070611055,0.0972063601253421,0.048888249318505085,0.09871049225307701,0.048065994284668456,0.09978732285999935
92,Both,0.07385471164440488,0.05403401329001104,0.09650893167277357,0.05403401329001104,0.09650893167277357,0.05145283123893526,0.09951586036927303,0.050157550079294844,0.10096912315854234,0.04935538207090867,0.10203945672932704
93,Both,0.07561581073845791,0.05488560302703939,0.09934829209239297,0.05488560302703939,0.09934829209239297,0.05211950989718555,0.10246178519430002,0.050946197275297644,0.10398639206532394,0.050111623343849235,0.10525409238725508
94,Both,0.07748827136210176,0.055571043323573314,0.10277533910073931,0.055571043323573314,0.10277533910073931,0.05259842488266698,0.1063323779888865,0.0515844807632215,0.10814453609404825,0.05081521696494111,0.10926516066773263
95,Both,0.07724489607490795,0.054442322490331055,0.1041468509260435,0.054442322490331055,0.1041468509260435,0.05161081141313206,0.10771622015843428,0.05046646125989997,0.10973417199294871,0.04954163266022756,0.1108617322040578
96,Both,0.079265629611398,0.05588669958876445,0.10651655828344625,0.05588669958876445,0.10651655828344625,0.053009252629137193,0.11035247126594008,0.0518190097424932,0.11263215667742588,0.050987550890906556,0.11411668902481044
97,Both,0.08128630853817485,0.05717986722016131,0.10951257767335905,0.05717986722016131,0.10951257767335905,0.05431640398108358,0.11348078702501235,0.05300921394679065,0.11578348864889386,0.05204138979721984,0.11775308658884093
98,Both,0.08330692397838564,0.05836205558894834,0.11300526760533401,0.05836205558894834,0.11300526760533401,0.05544728724897346,0.11744953169858745,0.05394608564198087,0.11983260329457567,0.05291590481671946,0.12172599372971013
99,Both,0.0853274588509639,0.05932852721756738,0.11690882115700571,0.05932852721756738,0.11690882115700571,0.056319954126293426,0.12183676223440991,0.05469821083551244,0.1243083193344362,0.05380847734800932,0.1261916821267418
100,Both,0.08734786067660569,0.06026622519113168,0.12112612253879726,0.06026622519113168,0.12112612253879726,0.057143152027368145,0.12646709467920558,0.055497234938250414,0.129066001328334,0.05444862342732136,0.13137449036885676
0,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Male,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
